,A,B,C,D,E,F,G
15627,48,23,24,30,03,07,11
15626,40,02,34,25,44,49,45
15625,14,33,47,43,11,38,37
15624,01,40,06,29,41,03,31
15623,49,44,19,23,20,45,13
15622,11,47,42,06,12,25,09
15621,33,12,39,30,17,22,34
15620,25,47,44,14,37,35,29
15619,38,42,47,31,19,44,24
15618,46,43,41,44,15,33,47
15617,12,11,38,10,06,16,48
15616,10,37,38,44,28,43,22
15615,11,33,45,20,35,43,25
15614,37,09,18,22,13,46,16
15613,39,15,13,46,08,11,33
15612,22,12,08,37,04,27,03
15611,18,30,25,49,12,23,39
15610,35,42,48,44,40,22,20
15609,45,39,12,10,30,31,33
15608,28,38,05,24,40,21,09
15607,25,42,36,12,14,03,01
15606,25,38,10,24,39,07,44
15605,37,27,29,12,49,28,43
15604,24,39,27,48,42,37,10
15603,31,24,08,25,03,47,28
15602,13,46,27,01,38,04,20
15601,17,32,38,26,09,45,22
15600,44,09,02,05,40,48,14
15599,02,04,43,19,44,46,49
15598,40,29,03,49,01,13,19
15597,21,46,24,40,05,28,16
15596,27,28,02,38,05,36,04
15595,43,21,02,22,25,46,36
15594,06,28,05,26,04,02,08
15593,01,31,42,15,19,46,16
15592,47,25,11,07,06,34,18
15591,25,28,38,40,34,29,39
15590,49,29,44,12,23,48,45
15589,27,21,24,02,32,26,08
15588,24,40,27,23,11,04,26
15587,17,40,08,43,33,15,49
15586,32,10,21,34,08,42,47
15585,36,46,19,39,17,33,38
15584,32,19,34,36,16,46,31
15583,33,26,13,48,06,15,04
15582,28,37,19,25,44,03,48
15581,18,49,37,23,10,31,32
15580,04,31,24,14,44,39,35
15579,15,32,05,17,37,04,26
15578,09,11,08,25,48,34,27
15577,22,18,43,04,23,28,32
15576,07,10,03,15,14,26,25
15575,49,33,28,45,18,26,25
15574,16,25,39,15,26,03,38
15573,25,08,07,28,01,40,21
15572,11,25,42,28,47,20,31
15571,28,27,37,17,24,01,31
15570,05,22,28,14,03,20,23
15569,35,12,18,20,02,40,45
15568,28,15,25,31,39,33,05
15567,08,43,36,40,11,37,10
15566,25,09,19,24,14,33,29
15565,32,43,38,45,18,13,35
15564,24,19,22,05,36,33,10
15563,04,13,33,46,45,47,19
15562,20,42,03,29,40,13,10
15561,21,31,44,22,20,05,46
15560,03,35,41,01,39,18,30
15559,23,19,48,04,32,34,42
15558,43,19,20,08,49,25,22
15557,47,29,21,22,14,19,38
15556,45,49,34,48,25,18,02
15555,21,23,32,46,07,20,40
15554,11,25,44,27,47,31,17
15553,46,39,08,27,42,25,18
15552,42,49,32,31,07,45,06
15551,06,35,23,40,05,20,11
15550,35,20,48,25,47,11,27
15549,02,07,03,11,43,01,47
15548,02,38,49,20,12,24,36
15547,42,19,13,20,37,48,08
15546,33,15,32,21,24,13,26
15545,14,40,31,12,19,44,46
15544,05,04,30,37,29,45,26
15543,19,27,03,24,14,15,41
15542,46,14,43,20,29,12,13
15541,25,15,16,12,47,27,46
15540,34,29,49,19,42,23,26
15539,30,10,15,24,25,07,17
15538,23,30,26,01,27,25,44
15537,26,32,37,47,44,01,13
15536,27,12,05,09,42,35,22
15535,45,25,13,01,10,09,23
15534,28,23,35,32,01,26,36
15533,47,24,22,49,13,03,43
15532,17,37,03,01,05,34,02
15531,08,01,42,22,06,39,09
15530,09,32,39,02,27,13,19
15529,46,47,38,45,14,26,29
15528,10,38,43,18,36,14,05
15527,08,09,15,35,44,37,13
15526,44,15,37,07,21,05,49
15525,18,44,35,03,33,02,45
15524,30,24,16,39,41,33,01
15523,13,38,25,10,44,01,41
15522,01,42,47,29,45,32,31
15521,30,15,31,06,34,12,05
15520,05,13,46,20,14,16,49
15519,05,21,47,25,42,45,02
15518,03,19,30,34,44,07,24
15517,23,43,22,14,45,41,24
15516,18,19,16,05,11,26,02
15515,33,29,26,07,18,31,32
15514,18,35,03,47,41,20,49
15513,17,47,35,41,49,11,28
15512,38,27,02,31,40,42,19
15511,01,29,12,47,25,22,19
15510,20,02,33,14,10,45,06
15509,22,35,02,26,08,06,20
15508,37,20,21,43,15,30,24
15507,30,42,10,06,45,09,18
15506,35,34,08,33,16,21,37
15505,30,46,05,29,47,18,43
15504,25,31,38,10,39,48,08
15503,13,35,31,22,08,14,10
15502,23,46,20,36,07,39,42
15501,27,30,46,32,33,28,16
15500,07,29,17,24,14,30,01
15499,49,12,11,37,45,32,30
15498,16,20,02,36,05,35,33
15497,24,01,44,29,14,21,41
15496,24,46,21,41,48,22,28
15495,18,32,12,05,33,11,20
15494,31,47,32,07,25,44,35
15493,47,40,04,03,27,01,13
15492,25,35,40,13,24,08,28
15491,32,17,46,18,09,03,12
15490,25,11,48,42,08,06,45
15489,44,38,40,21,46,31,45
15488,08,15,47,24,49,42,33
15487,22,04,29,44,47,19,28
15486,04,23,10,35,30,08,03
15485,02,44,25,01,32,23,40
15484,38,37,44,15,31,23,06
15483,25,11,22,46,17,21,03
15482,39,08,42,32,13,40,30
15481,17,46,48,39,47,37,44
15480,37,38,48,44,39,15,34
15479,02,48,45,35,16,21,47
15478,08,27,17,10,01,29,05
15477,14,13,46,25,08,16,04
15476,11,38,30,32,21,39,44
15475,13,40,44,45,39,27,30
15474,15,41,06,05,14,12,24
15473,49,27,45,07,35,33,26
15472,15,24,42,43,34,26,13
15471,27,01,18,20,31,39,19
15470,28,33,11,02,29,31,26
15469,03,38,05,10,17,45,06
15468,26,48,42,34,35,13,16
15467,09,34,41,27,06,10,42
15466,01,14,26,28,29,32,13
15465,38,08,35,25,33,18,12
15464,46,05,17,49,24,48,23
15463,16,43,41,20,37,15,25
15462,43,03,35,21,47,12,16
15461,20,17,03,01,11,19,16
15460,28,43,29,27,25,23,18
15459,48,21,15,11,34,28,23
15458,45,14,12,32,03,44,04
15457,47,17,37,19,11,45,03
15456,44,22,32,49,01,23,26
15455,35,31,18,03,09,24,37
15454,19,01,16,09,34,49,31
15453,16,30,28,09,21,33,44
15452,03,37,34,48,24,29,14
15451,44,07,43,12,37,13,02
15450,43,18,33,45,30,14,41
15449,24,11,02,12,03,33,07
15448,31,46,22,42,16,29,20
15447,15,09,29,38,41,22,43
15446,04,29,46,18,11,12,03
15445,25,36,47,46,44,13,29
15444,20,10,27,05,44,06,09
15443,42,40,27,03,01,34,02
15442,23,22,08,31,43,14,13
15441,16,34,11,27,36,24,20
15440,35,45,38,33,13,41,14
15439,06,08,30,18,07,22,26
15438,24,25,20,19,04,27,07
15437,09,27,42,37,21,35,22
15436,42,12,23,04,26,48,40
15435,14,37,39,03,38,18,43
15434,16,47,21,08,46,11,20
15433,46,44,31,36,32,20,01
15432,29,24,28,49,03,37,48
15431,39,22,40,17,29,31,45
15430,28,45,22,38,12,21,20
15429,02,37,46,07,32,19,27
15428,43,02,26,08,28,14,04
15427,15,35,30,08,10,18,32
15426,14,49,03,05,46,29,23
15425,37,42,35,26,33,21,31
15424,05,38,35,46,11,07,40
15423,23,25,38,27,33,02,10
15422,22,49,39,19,09,10,25
15421,20,14,22,21,43,01,30
15420,04,31,22,21,07,26,45
15419,02,38,16,19,08,22,15
15418,45,16,40,13,25,32,39
15417,29,41,30,01,19,20,13
15416,41,29,28,09,22,10,21
15415,08,37,27,04,41,23,25
15414,43,49,16,09,36,05,38
15413,16,40,47,18,32,02,27
15412,20,15,31,08,14,21,29
15411,25,49,16,20,29,14,28
15410,26,36,35,27,47,18,46
15409,09,12,27,16,41,04,45
15408,29,42,20,25,06,32,08
15407,10,33,21,14,42,08,16
15406,09,41,07,18,11,01,21
15405,46,41,38,21,36,10,13
15404,23,39,41,33,28,06,48
15403,14,34,05,47,40,39,41
15402,22,47,40,49,17,23,35
15401,07,49,13,27,46,48,26
15400,15,21,36,14,34,27,31
15399,15,18,43,37,49,31,01
15398,30,11,40,42,15,38,47
15397,24,35,37,16,01,10,23
15396,41,11,28,40,10,14,04
15395,25,09,04,29,27,41,42
15394,39,05,49,24,40,37,25
15393,47,06,13,37,21,15,41
15392,01,30,27,17,13,34,40
15391,19,22,28,43,24,46,09
15390,22,15,09,42,01,30,46
15389,09,37,40,42,21,27,48
15388,01,33,34,13,17,49,05
15387,16,09,17,38,01,06,05
15386,39,06,44,18,17,04,22
15385,42,45,37,14,35,20,15
15384,25,23,28,48,10,47,13
15383,22,31,11,48,20,17,45
15382,42,07,21,24,16,13,11
15381,10,28,46,44,20,02,27
15380,26,32,24,31,46,23,45
15379,06,19,28,32,33,22,11
15378,40,35,22,32,10,21,47
15377,12,26,40,37,44,34,25
15376,02,46,26,16,08,14,29
15375,48,38,09,40,33,01,26
15374,48,46,32,01,27,39,20
15373,36,03,09,11,04,05,21
15372,38,30,33,03,13,16,01
15371,01,06,33,43,23,04,41
15370,04,25,07,10,32,44,06
15369,42,40,06,12,04,16,19
15368,20,46,39,41,45,23,38
15367,16,24,10,11,44,17,34
15366,35,33,37,12,05,42,48
15365,05,24,04,37,12,28,45
15364,15,30,40,26,38,28,49
15363,01,26,40,22,17,24,44
15362,25,38,34,40,42,10,39
15361,43,44,20,36,49,48,01
15360,14,38,27,15,35,12,16
15359,31,27,36,26,49,05,48
15358,47,41,34,10,35,09,07
15357,08,27,42,28,32,03,45
15356,41,46,49,12,45,28,36
15355,49,45,16,47,40,04,13
15354,08,49,40,19,07,38,37
15353,24,32,28,18,43,33,42
15352,16,35,04,18,33,11,37
15351,45,05,06,16,11,15,07
15350,21,18,01,10,14,38,22
15349,33,24,09,18,42,14,34
15348,32,45,48,38,22,35,36
15347,36,22,18,38,31,48,26
15346,31,17,24,21,43,12,27
15345,47,29,22,37,14,13,35
15344,38,21,36,20,17,11,39
15343,40,11,19,01,25,42,31
15342,08,45,42,21,20,28,39
15341,05,14,01,37,44,39,19
15340,25,19,29,15,42,46,48
15339,26,44,32,27,19,35,07
15338,30,05,29,16,20,02,27
15337,21,38,35,09,06,19,08
15336,39,05,38,48,29,44,31
15335,20,39,34,10,04,07,16
15334,49,25,09,33,05,01,18
15333,10,43,07,03,12,35,41
15332,24,48,13,03,01,36,27
15331,38,13,44,19,08,31,37
15330,18,17,19,22,11,36,31
15329,48,36,12,33,35,43,39
15328,02,16,09,14,28,12,22
15327,46,04,13,45,22,05,41
15326,48,31,33,44,21,05,35
15325,36,24,18,03,40,05,06
15324,37,24,08,43,04,14,20
15323,42,06,35,28,12,17,44
15322,41,40,04,02,29,33,01
15321,11,12,49,45,41,22,14
15320,20,47,22,31,05,30,14
15319,16,09,21,34,24,38,01
15318,35,09,24,41,49,16,28
15317,11,22,04,16,48,28,40
15316,38,29,03,14,34,16,17
15315,01,19,25,29,26,27,07
15314,13,40,27,18,41,45,10
15313,18,08,01,07,02,30,26
15312,40,44,05,41,35,42,27
15311,31,39,25,49,17,24,07
15310,08,44,18,24,19,02,43
15309,08,09,12,49,14,35,05
15308,10,09,43,47,35,01,06
15307,32,05,39,20,18,14,42
15306,33,08,35,11,47,43,40
15305,48,29,46,17,14,44,47
15304,02,27,44,10,41,33,37
15303,49,09,48,04,10,25,27
15302,29,17,46,35,03,24,45
15301,19,16,36,14,34,15,22
15300,39,06,04,41,33,38,34
15299,47,34,44,19,05,22,17
15298,27,45,26,13,24,38,14
15297,12,32,19,41,25,45,26
15296,30,42,25,08,15,38,02
15295,20,37,35,06,02,25,24
15294,05,25,17,04,40,44,27
15293,01,48,03,19,36,23,31
15292,39,05,23,02,26,18,01
15291,37,48,03,47,30,45,29
15290,49,02,01,32,04,45,43
15289,14,36,25,32,12,16,11
15288,45,39,30,13,36,43,15
15287,19,12,41,45,18,47,14
15286,06,11,02,08,39,31,05
15285,37,26,09,49,02,11,01
15284,41,34,08,45,19,46,31
15283,17,18,22,26,42,01,24
15282,45,07,01,21,20,12,15
15281,03,06,07,16,13,30,04
15280,37,29,48,09,36,24,42
15279,08,27,47,05,17,13,36
15278,12,14,08,26,19,13,33
15277,13,32,47,48,44,08,34
15276,34,27,12,32,29,31,15
15275,15,13,04,20,08,34,02
15274,15,43,10,46,25,26,09
15273,48,07,20,06,04,26,32
15272,04,34,28,13,46,41,49
15271,20,01,17,06,05,46,02
15270,26,30,09,07,32,34,05
15269,38,37,07,09,39,19,41
15268,02,31,22,18,05,07,36
15267,37,15,17,29,23,44,01
15266,02,40,11,37,38,44,05
15265,14,16,15,36,20,34,28
15264,35,38,43,03,41,10,30
15263,05,22,36,30,02,14,43
15262,17,48,46,30,21,06,27
15261,08,36,43,11,14,20,38
15260,41,31,23,38,26,07,12
15259,11,09,46,38,45,40,32
15258,45,41,37,12,19,08,16
15257,24,42,35,10,36,49,22
15256,02,20,49,48,33,01,30
15255,16,21,49,47,05,27,10
15254,34,22,45,28,13,02,48
15253,45,26,03,11,31,07,49
15252,15,10,24,21,44,35,08
15251,43,01,13,25,30,22,44
15250,46,32,22,42,37,13,44
15249,41,21,19,42,09,17,02
15248,22,10,16,43,19,49,21
15247,32,31,20,29,14,45,42
15246,20,09,31,14,33,13,24
15245,24,01,30,09,10,06,25
15244,17,14,06,26,07,37,22
15243,12,08,06,23,21,41,10
15242,15,47,49,24,18,17,10
15241,40,46,43,02,39,15,14
15240,25,20,18,48,31,32,27
15239,30,36,48,19,37,42,33
15238,03,49,40,41,46,04,18
15237,43,32,28,35,07,22,18
15236,46,09,45,34,49,06,23
15235,29,26,34,36,17,07,06
15234,02,46,37,05,43,24,28
15233,21,47,23,29,30,01,24
15232,14,11,17,34,23,27,45
15231,49,37,30,05,03,12,22
15230,11,07,03,35,41,10,43
15229,43,23,34,20,40,42,12
15228,43,03,41,21,19,27,34
15227,36,21,35,26,24,12,17
15226,09,18,04,01,40,16,03
15225,22,45,33,30,47,48,31
15224,04,05,01,16,44,32,39
15223,29,05,26,21,22,03,01
15222,05,06,37,35,18,32,15
15221,42,07,03,44,48,12,31
15220,33,48,49,47,12,28,37
15219,40,28,47,16,29,04,07
15218,14,46,17,18,32,08,39
15217,33,20,34,26,08,13,30
15216,03,31,27,35,36,41,12
15215,06,24,44,39,28,34,13
15214,24,16,13,38,14,08,26
15213,44,04,39,16,40,13,14
15212,19,21,31,41,32,07,40
15211,31,21,37,36,26,28,22
15210,40,27,46,05,09,43,18
15209,11,17,47,48,45,46,30
15208,28,27,14,21,29,38,35
15207,26,37,43,46,34,08,25
15206,30,31,23,39,11,18,36
15205,45,02,27,31,21,49,05
15204,45,02,23,26,39,27,30
15203,20,12,46,02,39,01,27
15202,43,46,27,29,23,14,35
15201,02,18,03,37,46,43,28
15200,05,42,25,03,12,33,30
15199,21,09,23,15,17,35,46
15198,39,04,14,19,34,46,30
15197,43,06,18,42,38,20,30
15196,47,46,03,43,37,39,27
15195,08,13,40,37,14,44,29
15194,18,24,39,17,48,26,02
15193,04,19,07,05,35,42,28
15192,11,14,24,42,19,05,10
15191,17,26,31,35,37,01,22
15190,21,16,14,35,39,36,25
15189,46,20,08,34,09,26,35
15188,42,24,26,19,25,13,08
15187,25,07,40,21,35,27,47
15186,27,26,15,37,19,07,35
15185,42,03,19,20,02,13,34
15184,34,25,29,43,40,21,32
15183,09,15,20,46,33,19,02
15182,28,31,23,33,35,30,48
15181,37,14,42,47,45,25,46
15180,49,03,08,06,37,24,16
15179,29,03,12,06,49,36,02
15178,48,42,27,14,10,08,32
15177,39,22,03,38,28,18,11
15176,04,46,23,33,13,28,20
15175,11,12,30,08,37,36,13
15174,43,41,09,13,27,10,29
15173,08,45,11,03,39,21,24
15172,49,05,24,17,03,44,22
15171,07,37,26,39,49,45,04
15170,21,43,07,18,24,15,08
15169,41,48,42,47,20,27,28
15168,25,17,22,03,10,20,35
15167,40,39,16,28,34,06,22
15166,02,40,26,18,16,05,36
15165,47,44,16,34,11,45,48
15164,26,22,09,10,01,28,21
15163,02,32,10,16,47,24,48
15162,47,40,26,21,41,09,05
15161,04,18,11,48,07,39,20
15160,15,21,04,28,37,14,25
15159,40,41,28,32,15,11,44
15158,05,01,30,45,03,34,12
15157,44,16,39,30,49,37,48
15156,19,16,18,21,30,01,47
15155,41,25,36,48,19,09,20
15154,06,04,36,34,14,17,01
15153,16,12,07,04,13,30,31
15152,06,03,09,21,37,02,14
15151,08,29,04,45,36,46,21
15150,10,12,24,34,21,25,30
15149,14,26,34,04,20,45,48
15148,33,44,13,37,02,32,01
15147,12,17,29,32,16,04,38
15146,43,25,10,04,28,37,45
15145,11,25,24,33,12,40,01
15144,09,28,45,19,13,48,35
15143,22,25,05,17,16,32,08
15142,47,25,02,32,10,33,41
15141,43,41,21,22,11,08,23
15140,48,31,24,21,33,49,41
15139,45,30,08,28,34,33,46
15138,44,15,21,12,06,29,43
15137,20,25,09,04,45,05,07
15136,20,37,41,31,24,28,47
15135,32,04,49,45,05,02,31
15134,40,03,04,45,27,01,11
15133,27,16,07,40,09,24,15
15132,40,28,35,22,47,12,18
15131,28,38,45,39,29,24,17
15130,40,38,49,18,43,10,04
15129,47,16,38,40,25,21,48
15128,25,23,07,35,03,27,14
15127,18,33,11,22,25,36,41
15126,12,09,45,30,39,01,23
15125,23,48,25,46,47,05,20
15124,49,27,21,14,23,31,38
15123,02,03,07,34,46,06,12
15122,49,39,31,09,14,16,46
15121,48,47,06,04,45,12,41
15120,29,45,17,01,23,30,21
15119,40,24,16,42,34,37,09
15118,02,20,36,38,03,17,27
15117,12,31,36,38,29,10,18
15116,41,16,04,26,23,27,36
15115,03,12,22,47,40,29,46
15114,25,02,34,45,10,11,36
15113,44,26,31,45,43,20,28
15112,30,18,20,01,05,42,49
15111,31,11,06,40,38,05,45
15110,19,47,09,25,15,27,43
15109,36,02,03,06,26,46,16
15108,09,15,40,21,29,05,32
15107,40,37,35,46,17,06,49
15106,27,21,16,47,23,14,30
15105,33,26,27,29,24,43,46
15104,46,14,17,48,15,19,02
15103,48,29,43,30,21,44,09
15102,08,06,20,41,49,19,26
15101,07,48,32,46,49,36,22
15100,24,08,34,15,02,17,20
15099,06,21,03,22,11,09,26
15098,19,12,37,45,02,43,23
15097,38,43,16,21,22,28,36
15096,21,24,23,10,35,46,02
15095,16,07,35,22,39,03,43
15094,42,12,03,33,28,16,21
15093,09,30,47,49,37,04,39
15092,03,33,04,23,49,37,09
15091,47,36,22,18,19,13,10
15090,05,34,26,28,33,45,44
15089,31,35,27,02,41,04,33
15088,44,33,45,24,25,32,28
15087,48,06,01,45,37,35,02
15086,28,29,12,21,20,41,24
15085,40,22,42,19,14,16,08
15084,04,30,29,21,23,17,13
15083,21,44,16,48,24,01,28
15082,27,07,31,23,17,02,15
15081,37,13,12,07,01,09,06
15080,39,44,43,03,04,10,45
15079,21,22,16,14,44,41,43
15078,21,40,22,05,18,48,20
15077,29,03,06,22,21,49,07
15076,09,45,37,30,33,05,43
15075,27,12,39,36,19,23,42
15074,26,42,35,03,19,29,06
15073,11,47,34,10,17,48,41
15072,17,09,25,35,07,31,15
15071,27,42,41,23,09,04,45
15070,18,23,14,38,43,06,13
15069,45,35,41,32,27,14,06
15068,43,31,07,12,16,08,11
15067,27,49,04,29,37,36,13
15066,33,22,01,27,18,28,12
15065,06,12,05,10,21,04,17
15064,06,44,21,40,10,24,34
15063,01,18,39,27,31,42,25
15062,09,47,13,48,49,07,20
15061,07,29,42,16,21,36,13
15060,18,45,35,05,07,26,01
15059,26,10,42,08,29,12,41
15058,38,09,04,10,03,27,08
15057,20,47,48,42,06,28,10
15056,44,08,04,17,19,22,41
15055,26,28,47,33,06,02,30
15054,06,49,32,22,30,33,18
15053,19,03,14,49,02,33,36
15052,04,23,42,32,39,30,02
15051,32,44,20,41,28,06,21
15050,43,06,05,17,23,08,37
15049,13,44,17,25,42,10,48
15048,41,25,10,39,44,16,29
15047,11,01,07,31,10,37,49
15046,27,35,25,21,14,19,02
15045,34,08,41,39,22,46,20
15044,48,30,46,23,42,13,25
15043,38,24,47,15,27,17,13
15042,02,42,05,33,37,04,20
15041,33,15,48,12,09,38,13
15040,44,13,46,21,02,37,07
15039,46,30,22,26,27,33,04
15038,37,41,31,38,35,36,43
15037,41,23,47,39,35,20,22
15036,35,37,30,10,32,22,24
15035,04,11,06,02,44,33,01
15034,04,27,29,30,06,47,01
15033,17,06,49,44,48,10,43
15032,37,02,30,13,26,28,07
15031,46,31,39,28,42,49,08
15030,47,05,33,09,14,28,18
15029,12,10,09,15,39,22,02
15028,39,02,21,23,22,33,08
15027,22,49,35,17,12,21,23
15026,30,23,16,09,21,22,01
15025,35,18,06,07,05,10,44
15024,48,45,49,16,17,24,13
15023,44,29,49,34,16,19,04
15022,37,36,14,46,45,11,39
15021,33,34,37,42,32,47,11
15020,11,20,39,29,19,22,15
15019,06,15,25,26,31,36,43
15018,29,02,42,06,30,10,11
15017,45,16,14,38,44,06,20
15016,16,18,34,05,44,41,25
15015,18,26,33,29,30,31,27
15014,38,20,16,27,21,34,19
15013,26,35,37,17,07,27,01
15012,04,06,07,35,47,18,48
15011,44,41,26,22,31,46,21
15010,13,36,12,49,15,38,44
15009,47,49,30,10,31,41,11
15008,26,11,48,14,44,36,42
15007,06,35,14,27,38,22,11
15006,38,02,18,36,35,09,06
15005,36,26,47,15,43,06,49
15004,43,11,04,06,31,01,36
15003,05,07,33,43,24,12,47
15002,44,24,01,04,39,05,17
15001,28,44,36,17,37,09,40
15000,06,44,34,24,14,29,11
14999,18,37,10,31,33,39,12
14998,23,20,35,08,22,19,36
14997,18,22,24,36,23,44,12
14996,29,28,17,36,09,03,44
14995,41,14,25,27,12,23,34
14994,01,05,43,49,34,47,18
14993,13,19,42,30,25,34,06
14992,05,33,45,40,03,21,09
14991,32,39,40,41,22,17,38
14990,44,31,13,32,35,08,46
14989,01,15,12,32,28,13,43
14988,46,11,29,02,21,27,40
14987,42,16,12,03,01,05,10
14986,41,35,44,02,30,04,33
14985,37,06,19,40,46,42,13
14984,47,04,25,43,15,33,17
14983,30,38,28,10,11,06,29
14982,09,30,49,08,43,14,17
14981,05,06,25,17,37,24,13
14980,23,19,02,28,10,24,49
14979,24,09,21,15,46,30,44
14978,12,43,10,02,40,31,47
14977,37,05,34,26,06,24,19
14976,35,24,26,18,28,19,32
14975,38,43,24,05,45,41,40
14974,20,36,37,09,38,28,23
14973,18,32,01,35,40,28,39
14972,36,08,10,21,13,30,12
14971,18,30,35,12,04,49,19
14970,49,03,23,14,35,05,36
14969,44,04,29,45,38,28,12
14968,40,02,43,39,46,18,48
14967,15,23,42,25,33,27,22
14966,01,23,10,05,11,39,07
14965,27,25,05,19,49,29,08
14964,13,43,22,14,23,15,27
14963,14,07,12,41,47,30,17
14962,07,37,14,08,11,22,17
14961,47,28,32,40,41,10,46
14960,03,27,24,26,32,43,22
14959,23,03,33,47,09,45,44
14958,14,36,16,38,03,39,17
14957,03,24,25,04,06,14,49
14956,30,21,38,48,36,33,25
14955,06,44,32,05,42,10,47
14954,09,08,14,29,35,12,01
14953,29,25,10,44,12,34,28
14952,33,06,48,19,27,47,15
14951,42,39,23,16,25,47,12
14950,07,31,29,33,17,43,11
14949,23,31,14,34,37,32,22
14948,46,43,26,11,42,03,05
14947,37,03,43,38,20,33,18
14946,10,17,35,05,29,22,26
14945,47,21,30,04,19,17,43
14944,26,06,04,16,14,09,36
14943,49,25,01,06,03,19,08
14942,33,37,47,04,21,13,27
14941,28,15,12,27,02,11,16
14940,28,43,09,10,05,17,26
14939,11,29,26,36,45,23,47
14938,40,46,01,34,18,09,13
14937,44,35,18,11,30,15,38
14936,42,26,21,38,36,24,01
14935,03,02,16,47,33,38,37
14934,02,06,03,36,17,44,10
14933,27,35,26,05,48,24,25
14932,43,24,38,09,30,01,35
14931,25,39,21,24,49,13,45
14930,39,35,22,45,04,03,27
14929,35,02,07,17,13,41,38
14928,14,15,08,49,37,38,10
14927,17,38,48,11,39,29,01
14926,20,47,49,28,03,33,15
14925,47,28,36,29,32,01,08
14924,33,26,38,10,29,45,07
14923,29,06,13,38,09,36,33
14922,37,27,26,01,46,21,28
14921,21,46,28,32,20,11,37
14920,29,22,26,28,24,08,09
14919,29,36,34,02,41,04,20
14918,06,07,28,30,42,15,49
14917,08,19,47,45,46,24,04
14916,23,13,31,39,12,21,14
14915,15,19,43,30,03,34,21
14914,44,40,41,32,13,16,39
14913,47,13,37,09,27,33,01
14912,48,17,19,02,27,13,18
14911,49,40,47,21,20,07,10
14910,07,02,42,19,01,29,36
14909,37,22,13,28,33,43,09
14908,17,10,33,07,18,38,43
14907,45,22,29,34,20,23,26
14906,27,28,19,44,21,04,36
14905,47,28,42,16,04,38,14
14904,32,16,30,48,03,22,29
14903,06,34,35,43,37,17,05
14902,09,17,23,26,46,01,10
14901,44,47,13,29,01,09,27
14900,27,33,02,39,43,20,21
14899,02,24,35,08,11,16,46
14898,01,34,48,19,06,07,16
14897,43,10,01,09,37,23,15
14896,22,19,33,30,13,37,17
14895,40,29,41,08,47,17,31
14894,31,11,26,49,23,16,35
14893,29,10,46,26,19,34,01
14892,49,29,30,17,26,06,20
14891,17,05,13,03,29,43,25
14890,48,29,37,16,35,24,41
14889,03,38,41,07,05,14,42
14888,39,19,17,18,15,13,03
